iter	MultiClass
0	0.9971320707
1	0.9349077511
2	0.8680417744
3	0.8186237307
4	0.7693560694
5	0.7276542069
6	0.6930097271
7	0.6585464867
8	0.6293361646
9	0.5968781461
10	0.5757861165
11	0.550451068
12	0.532291468
13	0.5174497015
14	0.5006764105
15	0.4842592755
16	0.4733957229
17	0.4599387141
18	0.449810812
19	0.4400417364
20	0.4301106621
21	0.4205193593
22	0.4087570617
23	0.4008201814
24	0.3937759719
25	0.3855857817
26	0.3803912638
27	0.3745001874
28	0.3678849759
29	0.3631598594
30	0.3585641197
31	0.3539999679
32	0.3506071902
33	0.345710225
34	0.3424418033
35	0.3400319467
36	0.337240349
37	0.3348994258
38	0.3324343618
39	0.328987936
40	0.3256180511
41	0.3228574229
42	0.3196520096
43	0.3165866292
44	0.3135275705
45	0.3103735771
46	0.307756616
47	0.3042405775
48	0.3012150502
49	0.2991795573
50	0.2963945739
51	0.2952337086
52	0.2923837241
53	0.2902002075
54	0.287271427
55	0.28466627
56	0.2816353021
57	0.2809719985
58	0.2784974382
59	0.2769052937
60	0.2741159639
61	0.2710675704
62	0.2684646629
63	0.2664547569
64	0.2647533024
65	0.2620916527
66	0.2594347835
67	0.2570568028
68	0.2553512566
69	0.2525265953
70	0.2510542624
71	0.2489961079
72	0.2475361817
73	0.2457162054
74	0.2439980315
75	0.24092798
76	0.2392164202
77	0.2379938025
78	0.2371921984
79	0.2351222332
80	0.2331046425
81	0.23111916
82	0.2297612845
83	0.2279361729
84	0.2266278411
85	0.225243555
86	0.2233049034
87	0.222151741
88	0.2200564308
89	0.2181109626
90	0.2167725018
91	0.2151216123
92	0.2137396825
93	0.2130048748
94	0.2104052338
95	0.2098498073
96	0.2077913964
97	0.2067136801
98	0.2050198707
99	0.2039461414
