iter	Passed	Remaining
0	243	24099
1	292	14326
2	304	9858
3	342	8226
4	374	7110
5	414	6500
6	440	5852
7	465	5353
8	505	5115
9	539	4855
10	570	4616
11	603	4422
12	634	4244
13	666	4094
14	705	3999
15	745	3913
16	783	3827
17	823	3749
18	886	3777
19	1018	4075
20	1061	3992
21	1094	3880
22	1134	3798
23	1178	3730
24	1205	3615
25	1279	3640
26	1323	3577
27	1362	3504
28	1390	3404
29	1417	3308
30	1449	3226
31	1481	3147
32	1515	3076
33	1531	2972
34	1564	2904
35	1596	2838
36	1632	2779
37	1665	2716
38	1701	2660
39	1737	2606
40	1772	2550
41	1803	2490
42	1834	2431
43	1867	2376
44	1893	2314
45	1926	2261
46	1958	2208
47	2001	2167
48	2040	2123
49	2072	2072
50	2106	2023
51	2134	1970
52	2163	1918
53	2203	1877
54	2235	1829
55	2265	1780
56	2296	1732
57	2327	1685
58	2362	1642
59	2402	1601
60	2487	1590
61	2555	1566
62	2600	1527
63	2627	1477
64	2655	1429
65	2684	1382
66	2712	1336
67	2753	1295
68	2784	1251
69	2814	1206
70	2845	1162
71	2877	1118
72	2928	1082
73	2963	1041
74	2997	999
75	3031	957
76	3069	916
77	3107	876
78	3146	836
79	3178	794
80	3227	757
81	3262	716
82	3297	675
83	3339	636
84	3376	595
85	3412	555
86	3443	514
87	3477	474
88	3508	433
89	3537	393
90	3573	353
91	3605	313
92	3634	273
93	3665	233
94	3695	194
95	3724	155
96	3755	116
97	3786	77
98	3828	38
99	3867	0
